SAMINATURA BINEFAR;;;;;;;;;;;;;;;;;;;;;;
ARTICULOS GENERAL;;;;;;;;;;;;;;;;;;;;;;

Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F

 ;;;;;;;;;;;;;;;;;;;;;;
221;221;ARTICULO 221;UNIDADES;10%;;;NORMAL;;V;C;S; 

001 TODAS;;;;;;;;;;;;;;;;;;;;;;
2386;2386;;UNIDADES;0%;;;NORMAL;;V;C;S; 
2603;2603; E BERGAMOTA;UNIDADES;21%;;;NORMAL;;V;C;S; 
2930;2930; magdalenas sarraceno;UNIDADES;10%;;;NORMAL;;V;C;S; 
1458;1458;,;UNIDADES;10%;;;NORMAL;;V;C;S; 
3343;3343;100 PURE WHEY CARAMELCAPUCCINO;UNIDADES;10%;;;NORMAL;;V;C;S; 
2216;2216;100% pure;UNIDADES;0%;;;NORMAL;;V;C;S; 
2226;2226;100% PURE WHEY apple;UNIDADES;0%;;;NORMAL;;V;C;S; 
2224;2224;100% PURE WHEY arroz con leche;UNIDADES;0%;;;NORMAL;;V;C;S; 
2225;2225;100% PURE WHEY BANANA;UNIDADES;0%;;;NORMAL;;V;C;S; 
2222;2222;100% PURE WHEY CAPP;UNIDADES;0%;;;NORMAL;;V;C;S; 
2227;2227;100% PURE WHEY CARAMEL;UNIDADES;0%;;;NORMAL;;V;C;S; 
2223;2223;100% PURE WHEY coco/choco;UNIDADES;0%;;;NORMAL;;V;C;S; 
3342;3342;100% PURE WHEY CHOCOLATEPEANUT 2270G;UNIDADES;10%;;;NORMAL;;V;C;S; 
2228;2228;100% WHEY CHEESECAKE;UNIDADES;10%;;;NORMAL;;V;C;S; 
2229;2229;100% whey vainilla;UNIDADES;0%;;;NORMAL;;V;C;S; 
1174;1174;11FIT VAINILLA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2765;2765;2EN1 BEBE;UNIDADES;21%;;;NORMAL;;V;C;S; 
1921;1921;3770009060752;UNIDADES;10%;;;NORMAL;;V;C;S; 
2399;2399;5902837748269SALSA VAINILLA;UNIDADES;0%;;;NORMAL;;V;C;S; 
2691;2691;7 HONGOS;UNIDADES;10%;;;NORMAL;;V;C;S; 
2089;2089;8436560533238;UNIDADES;10%;;;NORMAL;;V;C;S; 
1935;1935;a e jenjibre;UNIDADES;10%;;;NORMAL;;V;C;S; 
1934;1934;A E LAVANDA;UNIDADES;10%;;;NORMAL;;V;C;S; 
1937;1937;a e mandarina;UNIDADES;10%;;;NORMAL;;V;C;S; 
1936;1936;A E MENTA P;UNIDADES;10%;;;NORMAL;;V;C;S; 
2904;2904;a vogel;UNIDADES;10%;;;NORMAL;;V;C;S; 
2449;2449;A-TOPIC GEL;UNIDADES;21%;;;NORMAL;;V;C;S; 
2448;2448;a-topic natur;UNIDADES;21%;;;NORMAL;;V;C;S; 
1939;1939;a-v extract;UNIDADES;10%;;;NORMAL;;V;C;S; 
2991;2991;a.c gauteria;UNIDADES;21%;;;NORMAL;;V;C;S; 
3292;3292;a.e alcanfor;UNIDADES;21%;;;NORMAL;;V;C;S; 
2610;2610;A.E ANIS ESTR;UNIDADES;10%;;;NORMAL;;V;C;S; 
