Handle,Variant SKU,Variant Barcode,Option1 Value,ingredients,nutritional_info,usage_instructions,warnings,allergens,usage_tips,medical_disclaimer,legal_regulation
pan-crujiente-sarraceno-sin-azucares-anadidos,218,3380380089800,300 g,"Harina de trigo sarraceno*.
*Cultivado orgánicamente","Valores nutricionales medios por cada 100g Energía 1 642 kJ / 388 kcal Grasas 2,7 g de las cuales ácidos grasos saturados 0,6 g Hidratos de carbono 75,2 g de los cuales azúcares 1,7 g Fibra dietética 4,5 g Proteínas 13,4 g Sal 0,01 g",,,,,,
pan-crujiente-sarraceno-sin-azucares-anadidos,2327,3380380036637,150 g,"Harina de trigo sarraceno*.
*Cultivado orgánicamente","Valores nutricionales medios por cada 100g Energía 1 642 kJ / 388 kcal Grasas 2,7 g de las cuales ácidos grasos saturados 0,6 g Hidratos de carbono 75,2 g de los cuales azúcares 1,7 g Fibra dietética 4,5 g Proteínas 13,4 g Sal 0,01 g",,,,,,
pan-crujiente-de-trigo-sarraceno,356,3380380036620,150 g,"Harina de trigo sarraceno*, azúcar de caña entera* (<2%), sal marina.

*Cultivado orgánicamente","Valores nutricionales medios por cada 100g Energía 1 631 kJ / 385 kcal Grasas 2,8 g de las cuales ácidos grasos saturados 0,6 g Hidratos de carbono 74,8 g de los cuales azúcares 2,6 g Fibra dietética 4,4 g Proteínas 13,0 g Sal 0,68 g",,,,,,
pan-crujiente-de-trigo-sarraceno,1758,3380380047749,300 g,"Harina de trigo sarraceno*, azúcar de caña entera* (<2%), sal marina.
*Cultivado orgánicamente","Valores nutricionales medios por cada 100g Energía 1 631 kJ / 385 kcal Grasas 2,8 g de las cuales ácidos grasos saturados 0,6 g Hidratos de carbono 74,8 g de los cuales azúcares 2,6 g Fibra dietética 4,4 g Proteínas 13,0 g Sal 0,68 g",,,,,,
only-whey-protein-zero,3845,8436621080718,Cookies Ice Cream · 1 kg,"Ingredientes: Concentrado de proteína de suero de LECHE Lacprodan® SP-8011V Instant (contiene lecitina de SOJA como emulgente) 97.77%, Aromas, edulcorantes (Glucósidos de esteviol procedentes de estevia, Sucralosa), TolerasaTM L 100,000 ALU/g.","Información nutricional (por 30 g): Valor energético: 498,13 kJ / 119,17 kcal. Grasas: 1,79 g, de las cuales saturadas: 1,14 g. Hidratos de carbono: 2,24 g, de los cuales azúcares: 2,24 g. Fibra: 0,12 g. Proteínas: 23,47 g. Sal: 0,11 g.

Perfil de aminoácidos (por 100 g de producto): L-Leucina: 10,85 g. L-Isoleucina: 6,45 g. L-Valina: 5,96 g. BCAA totales: 23,27 g. Ácido L-Aspártico: 11,24 g. Ácido L-Glutámico: 17,89 g. L-Serina: 5,48 g. Glicina: 1,86 g. L-Histidina: 1,86 g. L-Arginina: 2,54 g. L-Treonina: 7,92 g. L-Alanina: 5,38 g. L-Prolina: 6,16 g. L-Tirosina: 3,03 g. L-Metionina: 2,15 g. L-Cisteína: 2,35 g. L-Fenilalanina: 3,23 g. L-Lisina: 9,68 g. L-Triptófano: 1,86 g.","Modo de empleo: Disolver 30g (1 servicio) mezclados en agua o leche desnatada (200-250ml). Tomar 1-2 servicios al día, preferiblemente 1 batido en el desayuno y 1 batido después del entrenamiento.","Advertencias: Los complementos alimenticios no deben utilizarse como sustitutos de una dieta variada y equilibrada ni de un modo de vida sano. Este producto no está diseñado para diagnosticar, tratar o prevenir ninguna enfermedad. No superar la dosis diaria expresamente recomendada. Mantener fuera del alcance de los niños más pequeños. Una dieta variada y equilibrada y un estilo de vida saludables son importantes. Producto para uso en adultos. Puede contener trazas de gluten, pescado, cacahuete y frutos de cáscara (avellana).",,,,
only-whey-protein-zero,3843,8436621080763,Brownie · 1 kg,"Ingredientes: Concentrado de proteína de suero de LECHE Lacprodan® SP-8011V Instant (contiene lecitina de SOJA como emulgente) 89,75%, Cacao desgrasado en polvo 6%, Aromas, edulcorantes (Glucósidos de esteviol procedentes de estevia, Sucralosa), TolerasaTM L 100,000 ALU/g.","Información nutricional (por 30 g): Valor energético: 486,23 kJ / 116,32 kcal. Grasas: 1,87 g, de las cuales saturadas: 1,19 g. Hidratos de carbono: 2,57 g, de los cuales azúcares: 2,11 g. Fibra: 0,58 g. Proteínas: 22,01 g. Sal: 0,10 g.

Otros principios activos (por 30 g): Lacprodan® SP-8011V (concentrado de proteína de suero lácteo): 26,93 g. Tolerase® L (enzima lactasa): 22,5 mg (2250 ALU).

Perfil de aminoácidos (por 100 g de producto): L-Leucina: 9,96 g. L-Isoleucina: 5,92 g. L-Valina: 5,47 g. BCAA totales: 21,36 g. Ácido L-Aspártico: 10,32 g. Ácido L-Glutámico: 16,42 g. L-Serina: 5,03 g. Glicina: 1,71 g. L-Histidina: 1,71 g. L-Arginina: 2,33 g. L-Treonina: 7,27 g. L-Alanina: 4,94 g. L-Prolina: 5,65 g. L-Tirosina: 2,78 g. L-Metionina: 1,97 g. L-Cisteína: 2,15 g. L-Fenilalanina: 2,96 g. L-Lisina: 8,89 g. L-Triptófano: 1,71 g.","Modo de empleo: Disolver 30g (1 servicio) mezclados en agua o leche desnatada (200-250ml). Tomar 1-2 servicios al día, preferiblemente 1 batido en el desayuno y 1 batido después del entrenamiento.","Advertencias: Los complementos alimenticios no deben utilizarse como sustitutos de una dieta variada y equilibrada ni de un modo de vida sano. Este producto no está diseñado para diagnosticar, tratar o prevenir ninguna enfermedad. No superar la dosis diaria expresamente recomendada. Mantener fuera del alcance de los niños más pequeños. Una dieta variada y equilibrada y un estilo de vida saludables son importantes. Producto para uso en adultos. Puede contener trazas de gluten, pescado, cacahuete y frutos de cáscara (avellana).",,,,
only-whey-protein-zero,549,8425252162603,Choco avellana · 1 kg,"Only Whey Zero, sabor Choco Hazelnut. Complemento alimenticio a base de proteínas con edulcorantes.

Ingredientes: Concentrado de proteína de suero de LECHE Lacprodan® SP-8011V Instant (contiene lecitina de SOJA como emulgente) 90.53%, Cacao desgrasado en polvo 5%, Aromas, sal, edulcorante (Sucralosa), TolerasaTM L 100.000 ALU/g, edulcorante (Glucósidos de esteviol procedentes de estevia).","Valor energético: 1637.38 kJ / 391.72 kcal (100 g), 491.26 kJ / 117.53 kcal (30 g). Grasas: 6.11 g (100 g), 1.83 g (30 g), de las cuales saturadas: 3.9 g (100 g), 1.17 g (30 g). Hidratos de carbono: 9.56 g (100 g), 2.87 g (30 g), de los cuales azúcares: 5.94 g (100 g), 1.78 g (30 g). Fibra: 1.81 g (100 g), 0.54 g (30 g). Proteínas: 73.72 g (100 g), 22.12 g (30 g). Sal: 0.56 g (100 g), 0.16 g (30 g).","Modo de empleo: Disolver 30g (1 servicio) mezclados en agua o leche desnatada (200-250ml). Tomar 1-2 servicios al día, preferiblemente 1 batido en el desayuno y 1 batido después del entrenamiento.","Advertencias: Los complementos alimenticios no deben utilizarse como sustitutos de una dieta variada y equilibrada ni de un modo de vida sano. Este producto no está diseñado para diagnosticar, tratar o prevenir ninguna enfermedad. No superar la dosis diaria expresamente recomendada. Mantener fuera del alcance de los niños más pequeños. Una dieta variada y equilibrada y un estilo de vida saludables son importantes. Producto para uso en adultos. Puede contener trazas de gluten, pescado, cacahuete y frutos de cáscara (avellana).",,,,
only-whey-protein-zero,3842,8425252161736,Pink Cake · 1 kg,"Caseína Micelar, sabor Pink Cake with white choco bits. Alimento en polvo a base de proteínas con azúcar y edulcorante.

Ingredientes: Aislado de caseína micelar natural Lacprodan MicelPure® (LECHE) (67.82%), Concentrado de proteína de suero de LECHE Lacprodan® SP-8011V Instant (contiene lecitina de SOJA, como emulgente) (20%), Trocitos planos de chocolate blanco (azúcar, manteca de cacao, LECHE entera en polvo, agente de recubrimiento (E-553b), emulgente (E-322) y aroma natural) (8%), Aromas, colorante rojo remolacha, edulcorante (Sucralosa), espesante (goma xantana), sal.","Valor energético: 1557.74 kJ / 372.66 kcal (100 g), 467.37 kJ / 111.81 kcal (30 g). Grasas: 4.78 g (100 g), 1.43 g (30 g), de las cuales saturadas: 3.02 g (100 g), 0.91 g (30 g). Hidratos de carbono: 9.29 g (100 g), 2.79 g (30 g), de los cuales azúcares: 6.4 g (100 g), 1.92 g (30 g). Fibra: 0.03 g (100 g), 0.01 g (30 g). Proteínas: 73.12 g (100 g), 21.94 g (30 g). Sal: 0.33 g (100 g), 0.1 g (30 g).","Modo de empleo: Añadir 1 cacito (30g) y mezclar con 300-350ml de agua o leche desnatada (para un batido más espeso utilice menos líquido, para uno más ligero use más). Para mejores resultados vierta primero el líquido y a continuación el producto en un agitador o mezclador. Tomar inmediatamente tras la preparación. Consumir antes de dormir.","Advertencias: Puede contener trazas de gluten, pescado, cacahuete y frutos de cáscara (avellana). Producto para uso en adultos.",,,,
only-whey-protein-zero,1130,8425252162641,Choco blanco · 1 kg,"Only Whey Zero, sabor White Chocolate. Complemento alimenticio a base de proteínas con edulcorantes.

Ingredientes: Concentrado de proteína de suero de LECHE Lacprodan® SP-8011V Instant (contiene lecitina de SOJA como emulgente) 98.83%, Aromas, edulcorante (Sucralosa), sal, TolerasaTM L 100,000 ALU/g, edulcorante (Glucósidos de esteviol procedentes de estevia).","Valor energético: 1664.6 kJ / 398.23 kcal (100 g), 499.43 kJ / 119.48 kcal (30 g). Grasas: 6.03 g (100 g), 1.81 g (30 g), de las cuales saturadas: 3.85 g (100 g), 1.16 g (30 g). Hidratos de carbono: 6.93 g (100 g), 2.08 g (30 g), de los cuales azúcares: 6.93 g (100 g), 2.08 g (30 g). Fibra: 0 g (100 g), 0 g (30 g). Proteínas: 79.06 g (100 g), 23.72 g (30 g). Sal: 0.5 g (100 g), 0.14 g (30 g).","Modo de empleo: Disolver 30g (1 servicio) mezclados en agua o leche desnatada (200-250ml). Tomar 1-2 servicios al día, preferiblemente 1 batido en el desayuno y 1 batido después del entrenamiento.","Advertencias: Los complementos alimenticios no deben utilizarse como sustitutos de una dieta variada y equilibrada ni de un modo de vida sano. Este producto no está diseñado para diagnosticar, tratar o prevenir ninguna enfermedad. No superar la dosis diaria expresamente recomendada. Mantener fuera del alcance de los niños más pequeños. Una dieta variada y equilibrada y un estilo de vida saludables son importantes. Producto para uso en adultos. Puede contener trazas de gluten, pescado, cacahuete y frutos de cáscara (avellana).",,,,
only-whey-protein-zero,3839,8436621083061,Natillas · 1 kg,"Ingredientes: Lacprodan® SP-8011V Instant: Concentrado de proteína de suero de LECHE (Emulgente (Lecitina de SOJA)) 97,75%, Aromas, Colorante (Carotenos), Sal, Edulcorantes (Sucralosa, Glucósidos de esteviol procedentes de estevia), Enzima Lactasa-Tolerase™ L 100,000 ALU/g.","Valor energético: 1651,98 kJ / 395,21 kcal (100 g), 495,64 kJ / 118,57 kcal (30 g). Grasas: 5,96 g (100 g), 1,79 g (30 g), de las cuales saturadas: 3,81 g (100 g), 1,14 g (30 g). Hidratos de carbono: 7,18 g (100 g), 2,15 g (30 g), de los cuales azúcares: 6,31 g (100 g), 1,89 g (30 g). Fibra alimentaria: 0 g (100 g), 0 g (30 g). Proteínas: 78,21 g (100 g), 23,46 g (30 g). Sal: 0,59 g (100 g), 0,17 g (30 g).",Modo de empleo: Disolver 30g (1 servicio) mezclados en agua o leche desnatada sin lactosa (200-250ml). Tomar 1 servicio al día.,"Advertencias: Los complementos alimenticios no deben utilizarse como sustitutos de una dieta variada y equilibrada ni de un modo de vida sano. No superar la dosis diaria expresamente recomendada. Mantener fuera del alcance de los niños más pequeños. Una dieta variada y equilibrada y un estilo de vida saludables son importantes. Puede contener trazas de gluten, pescado, cacahuete y frutos de cáscara (avellana). Conservar en lugar fresco y seco",,,,
